Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
40,8,1,10708
15,10,1,10708
13,8,1,10708
59,7,1,8625
50,3,1,8625
21,15,1,8625
40,9,1,15775
35,8,1,15775
14,8,1,15775
16,9,1,15775
60,5,1,15775
40,7,1,15958
37,0,1,15958
12,6,1,15958
21,9,1,15958
16,8,1,15958
15,6,1,15958
55,0,1,9700
55,0,1,9700
24,10,1,9700
22,14,1,9700
20,13,1,9700
65,0,1,17017
60,0,1,17017
35,12,1,17017
30,12,1,17017
7,1,1,17017
4,0,1,17017
28,15,1,17017
24,12,1,17017
2,0,1,17017
50,4,1,9642
45,9,1,9642
22,15,1,9642
19,10,1,9642
15,9,1,9642
75,0,1,9642
40,18,1,9950
35,0,1,9950
17,11,1,9950
15,9,1,9950
69,0,1,9950
35,10,1,2900
38,8,1,10500
35,7,1,10500
7,1,1,10500
17,9,1,10500
16,10,1,10500
14,8,1,10500
10,4,1,10500
9,3,1,10500
65,0,1,10500
35,5,1,11167
33,5,1,11167
12,7,1,11167
7,1,1,11167
10,4,1,11167
35,0,1,10408
30,9,1,10408
55,0,1,10408
24,5,1,10408
22,6,1,10408
22,8,1,10408
36,15,1,19167
35,12,1,19167
16,10,1,19167
12,8,1,19167
22,16,1,19167
26,15,1,16667
21,15,1,16667
28,17,1,16667
54,10,1,11583
27,18,1,11583
38,17,1,20333
30,12,1,20333
9,3,1,20333
5,0,1,20333
32,17,1,16750
10,4,1,16750
35,15,1,9333
21,15,1,8375
55,10,1,8625
52,15,1,33917
45,12,1,33917
24,12,1,33917
23,17,1,33917
21,14,1,33917
85,6,1,33917
76,5,1,33917
43,9,1,16917
40,10,1,16917
15,9,1,16917
20,12,1,16917
19,10,1,16917
75,0,1,16917
40,9,1,16917
50,12,1,14158
42,15,1,14158
14,7,1,14158
11,4,1,14158
81,3,1,14158
33,10,1,15375
28,12,1,15375
7,1,1,15375
9,3,1,15375
69,5,1,11085
65,5,1,11085
35,13,1,11085
7,1,1,11085
32,15,1,7753
28,9,1,7753
53,9,1,7753
65,9,1,16250
57,9,1,16250
36,15,1,16250
45,4,1,5542
39,4,1,5542
3,0,1,5542
57,15,1,16125
50,15,1,16125
23,15,1,16125
21,14,1,16125
47,19,1,22000
42,17,1,22000
15,10,1,22000
12,7,1,22000
44,10,1,9167
33,15,1,9167
9,3,1,9167
43,0,1,9658
17,11,1,9658
16,10,1,9658
36,2,1,16583
32,12,1,16583
14,8,1,16583
13,7,1,16583
5,0,1,16583
44,5,1,16600
40,10,1,16600
9,2,1,16600
60,0,1,5392
50,0,1,5392
30,0,1,5392
48,5,1,6967
45,4,1,6967
52,0,1,18750
50,0,1,18750
28,7,1,18750
23,10,1,18750
3,0,1,18750
26,10,1,18750
23,10,1,18750
1,0,1,18750
0,0,1,18750
24,10,1,18750
23,12,1,18750
0,0,1,18750
20,10,1,18750
55,0,1,10200
50,7,1,10200
23,10,1,10200
20,10,1,10200
18,10,1,10200
50,5,1,12167
45,3,1,12167
19,9,1,12167
16,9,1,12167
13,8,1,12167
7,2,1,12167
17,7,1,12167
52,5,1,10333
42,1,1,10333
23,10,1,10333
9,4,1,10333
24,12,1,10333
15,9,1,10333
38,0,1,9000
33,0,1,9000
10,3,1,9000
15,9,1,9000
60,0,1,10667
56,0,1,10667
30,5,1,10667
28,10,1,10667
2,0,1,10667
1,0,1,10667
18,10,1,10667
44,7,1,11433
39,7,1,11433
17,9,1,11433
20,10,1,11433
80,0,1,11433
46,0,1,10917
43,0,1,10917
24,7,1,10917
12,7,1,10917
18,7,1,10917
65,0,1,16583
32,18,1,16583
26,9,1,16583
30,17,1,16583
24,14,1,16583
40,11,1,5583
19,12,1,5583
18,12,1,5583
55,0,1,13458
50,0,1,13458
32,5,1,13458
27,10,1,13458
8,2,1,13458
6,0,1,13458
3,0,1,13458
28,8,1,13458
22,12,1,13458
3,0,1,13458
56,5,1,10125
37,7,1,10125
30,11,1,10125
3,0,1,10125
2,0,1,10125
27,5,1,10125
19,10,1,10125
22,0,1,10125
60,0,1,7958
40,7,1,7958
30,9,1,7958
7,1,1,7958
6,0,1,7958
3,0,1,7958
25,12,1,7958
30,8,1,7958
3,0,1,7958
60,0,1,7958
55,0,1,7958
52,8,1,4692
47,5,1,4692
8,2,1,4692
22,10,1,5600
50,0,1,5600
42,0,1,5600
78,12,1,22683
66,10,1,22683
37,18,1,22683
32,17,1,22683
10,4,1,22683
62,12,1,23467
54,10,1,23467
28,14,1,23467
25,12,1,23467
0,0,1,23467
37,15,1,16875
30,14,1,16875
7,1,1,16875
2,0,1,16875
30,15,1,13950
28,10,1,13950
5,0,1,13950
8,2,1,13950
62,6,1,17167
38,9,1,17167
33,12,1,17167
9,2,1,17167
7,1,1,17167
5,0,1,17167
36,4,1,17167
25,8,1,17167
9,3,1,17167
8,2,1,17167
33,3,1,17167
25,6,1,17167
5,0,1,17167
32,17,1,21167
29,9,1,21167
4,0,1,21167
2,0,1,21167
35,9,1,10967
26,9,1,10967
7,1,1,10967
8,2,1,10967
56,0,1,10967
65,9,1,8850
35,9,1,8850
32,9,1,8850
9,3,1,8850
6,0,1,8850
55,0,1,8850
39,15,1,11782
34,12,1,11782
11,4,1,11782
5,0,1,11782
74,15,1,9063
64,12,1,9063
38,15,1,9063
36,17,1,12750
34,15,1,12750
5,0,1,12750
11,4,1,12750
63,10,1,17137
53,3,1,17137
34,17,1,17137
28,10,1,17137
7,1,1,17137
1,0,1,17137
31,12,1,17137
28,10,1,17137
5,0,1,17137
7,1,1,17137
56,2,1,10225
32,17,1,10225
35,15,1,10225
56,12,1,4178
63,7,1,7847
54,0,1,7847
16,9,1,7847
28,2,1,3583
43,10,1,19422
42,7,1,19422
10,4,1,19422
19,10,1,19422
18,11,1,19422
12,6,1,19422
33,14,1,19875
29,15,1,19875
25,12,1,19875
43,15,1,18336
35,12,1,18336
12,7,1,18336
8,2,1,18336
31,15,1,15007
28,15,1,15007
3,0,1,15007
62,0,1,15007
51,9,1,15246
45,9,1,15246
24,9,1,15246
21,14,1,15246
42,7,1,17873
35,7,1,17873
15,9,1,17873
18,12,1,17873
42,9,1,18361
36,9,1,18361
10,4,1,18361
13,7,1,18361
39,9,1,14127
34,8,1,14127
6,0,1,14127
8,1,1,14127
53,15,1,13067
50,9,1,13067
25,15,1,13067
20,15,1,13067
48,10,1,13917
43,10,1,13917
18,13,1,13917
15,11,1,13917
75,10,1,5702
65,10,1,5702
62,13,1,10442
57,9,1,10442
23,12,1,10442
42,9,1,15917
33,10,1,15917
11,4,1,15917
64,1,1,15917
57,9,1,10773
18,13,1,10773
27,7,1,6292
25,7,1,6292
6,0,1,6292
7,0,1,6292
60,5,1,12650
57,0,1,12650
39,8,1,12650
45,10,1,8317
42,4,1,8317
23,12,1,8317
17,10,1,8317
36,14,1,9875
23,12,1,9875
3,0,1,9875
60,0,1,9875
33,11,1,9333
29,3,1,9333
10,4,1,9333
7,1,1,9333
4,0,1,9333
69,0,1,3345
46,2,1,17292
42,9,1,17292
23,10,1,17292
21,12,1,17292
17,10,1,17292
43,8,1,10867
38,8,1,10867
16,10,1,10867
17,11,1,10867
14,8,1,10867
75,0,1,11075
38,3,1,11075
38,3,1,11075
20,12,1,11075
19,9,1,11075
1,0,1,11075
36,3,1,10917
33,7,1,10917
13,7,1,10917
8,2,1,10917
70,0,1,10917
15,9,1,10917
58,7,1,17232
55,9,1,17232
33,15,1,17232
30,13,1,17232
9,3,1,17232
4,0,1,17232
32,12,1,17232
28,12,1,17232
7,0,1,17232
4,0,1,17232
72,15,1,12463
63,4,1,12463
38,17,1,12463
36,17,1,12463
12,6,1,12463
6,0,1,12463
46,14,1,9958
34,7,1,9958
17,11,1,9958
14,7,1,9958
64,0,1,36142
42,9,1,36142
30,7,1,36142
9,3,1,36142
2,0,1,36142
32,9,1,36142
14,9,1,36142
13,7,1,36142
40,7,1,36142
15,10,1,36142
49,14,1,19783
41,9,1,19783
85,5,1,19783
53,9,1,15900
42,9,1,15900
22,14,1,15900
15,9,1,15900
77,0,1,15900
78,4,1,3857
53,8,1,8517
45,7,1,8517
27,0,1,8517
25,12,1,8517
64,13,1,15583
52,4,1,15583
29,15,1,15583
24,10,1,15583
0,0,1,15583
64,5,1,21196
49,7,1,21196
22,17,1,21196
21,15,1,21196
25,15,1,21196
38,12,1,17500
34,10,1,17500
14,9,1,17500
6,1,1,17500
55,4,1,16382
48,10,1,16382
21,14,1,16382
27,7,1,16382
57,0,1,16382
45,7,1,15770
45,7,1,15770
19,13,1,15770
27,8,1,10458
22,12,1,10458
1,0,1,10458
31,7,1,12500
32,9,1,12500
14,8,1,12500
3,0,1,12500
45,8,1,6865
35,7,1,6865
58,10,1,9667
52,10,1,9667
29,15,1,9667
32,15,1,9667
75,0,1,15875
62,0,1,15875
45,9,1,15875
40,16,1,15875
16,10,1,15875
18,12,1,15875
67,16,1,14875
61,15,1,14875
30,15,1,10542
30,12,1,10542
30,10,1,6092
60,8,1,6092
62,15,1,10625
32,8,1,10625
9,3,1,10625
10,4,1,10625
31,8,1,10508
27,8,1,10508
9,2,1,10508
10,3,1,10508
36,4,1,10592
32,3,1,10592
13,6,1,10592
10,4,1,10592
50,17,1,31250
44,15,1,31250
14,9,1,31250
19,14,1,31250
53,15,1,51667
47,15,1,51667
12,6,1,51667
20,13,1,51667
35,12,1,30917
30,15,1,30917
5,0,1,30917
52,12,1,51083
44,9,1,51083
20,16,1,51083
13,8,1,51083
69,9,1,25667
57,5,1,25667
31,15,1,25667
61,11,1,14225
31,15,1,30833
10,6,1,30833
9,5,1,30833
32,9,1,25708
13,7,1,25708
10,3,1,25708
50,12,1,21208
48,10,1,21208
20,13,1,21208
20,12,1,21208
60,10,1,21583
49,2,1,21583
35,12,1,21583
30,10,1,21583
17,9,1,21583
8,3,1,21583
32,12,1,21583
28,10,1,21583
8,2,1,21583
5,0,1,21583
55,0,1,12667
52,0,1,12667
30,12,1,12667
24,15,1,12667
30,15,1,7125
25,15,1,7125
26,9,1,8458
50,12,1,8458
44,8,1,11083
39,5,1,11083
24,12,1,11083
31,5,1,15708
27,9,1,15708
4,0,1,15708
3,0,1,15708
7,2,1,15708
6,1,1,15708
90,0,1,4583
61,13,1,25917
55,10,1,25917
34,17,1,25917
31,15,1,25917
7,1,1,25917
2,0,1,25917
65,12,1,30708
58,12,1,30708
30,15,1,30708
34,17,1,25625
32,17,1,25625
2,0,1,25625
65,0,1,15583
34,15,1,15583
31,17,1,15583
41,17,1,15500
12,7,1,15500
36,9,1,15667
28,10,1,15667
6,0,1,15667
2,0,1,15667
29,17,1,25500
27,15,1,25500
69,0,1,20708
31,8,1,20708
31,9,1,20708
13,7,1,20708
3,0,1,20708
48,10,1,8790
45,9,1,8790
21,15,1,8790
17,11,1,8790
54,9,1,10108
49,17,1,10108
19,13,1,10108
16,10,1,10108
60,12,1,8772
52,9,1,8772
26,15,1,8772
58,4,1,9325
39,14,1,9325
37,15,1,9325
36,10,1,4803
12,6,1,4803
9,3,1,4803
11,5,1,4803
52,6,1,7890
31,10,1,7890
60,5,1,2985
60,4,1,10140
54,7,1,10140
31,7,1,10140
44,10,1,13358
36,10,1,13358
15,9,1,13358
16,11,1,13358
11,4,1,13358
7,1,1,13358
61,4,1,13883
59,0,1,13883
30,15,1,13883
23,11,1,13883
1,0,1,13883
40,15,1,13883
42,19,1,33000
40,17,1,33000
13,6,1,33000
72,8,1,33000
70,5,1,33000
40,12,1,3708
19,13,1,3708
75,0,1,3708
22,12,1,5100
45,15,1,4467
53,5,1,10433
43,0,1,10433
14,8,1,10433
16,9,1,10433
12,6,1,10433
40,8,1,9992
38,4,1,9992
36,5,1,9992
14,8,1,9992
13,7,1,9992
57,10,1,38167
42,15,1,38167
23,15,1,38167
24,16,1,38167
80,0,1,38167
55,3,1,38167
46,15,1,27000
43,15,1,27000
17,11,1,27000
21,13,1,27000
24,15,1,33750
23,12,1,33750
40,17,1,18208
33,15,1,18208
10,3,1,18208
14,7,1,18208
25,12,1,11092
28,13,1,7917
75,9,1,6758
63,5,1,6758
49,7,1,8842
26,12,1,8842
62,12,1,19925
55,10,1,19925
33,15,1,19925
30,15,1,19925
2,0,1,19925
27,16,1,19925
58,12,1,13367
50,10,1,13367
26,15,1,13367
22,15,1,13367
45,10,1,13058
44,10,1,13058
12,6,1,13058
70,7,1,13058
63,8,1,20867
36,12,1,20867
31,17,1,20867
2,0,1,20867
70,3,1,15867
61,7,1,15867
33,15,1,15867
50,7,1,15967
40,9,1,15967
20,13,1,15967
65,12,1,19125
59,12,1,19125
31,17,1,19125
77,6,1,5450
53,12,1,22500
42,12,1,22500
22,15,1,22500
11,4,1,22500
23,15,1,22500
16,10,1,22500
74,16,1,41542
71,15,1,41542
46,15,1,41542
43,15,1,41542
16,10,1,41542
32,17,1,8333
22,14,1,8333
0,0,1,8333
36,16,1,8500
26,12,1,8500
0,0,1,8500
51,7,1,8917
45,0,1,8917
22,10,1,8917
60,7,1,13958
48,5,1,13958
27,8,1,13958
23,12,1,13958
4,0,1,13958
1,0,1,13958
42,5,1,7958
35,5,1,7958
9,2,1,7958
4,0,1,7958
15,9,1,7958
11,4,1,7958
50,5,1,9667
22,9,1,9667
22,9,1,9667
54,16,1,36408
48,15,1,36408
18,12,1,36408
47,10,1,16125
47,0,1,16125
27,18,1,16125
24,15,1,16125
57,10,1,33392
36,15,1,33392
34,17,1,33392
35,18,1,39167
34,17,1,39167
8,2,1,39167
47,18,1,41417
46,18,1,41417
40,15,1,30208
15,9,1,30208
36,19,1,39983
7,0,1,39983
65,0,1,39983
56,0,1,52500
36,15,1,52500
36,17,1,52500
13,8,1,52500
10,4,1,52500
33,15,1,52500
33,17,1,52500
8,2,1,52500
3,0,1,52500
56,15,1,51250
52,12,1,51250
25,17,1,51250
39,15,1,23333
37,17,1,23333
10,4,1,23333
77,15,1,19833
62,10,1,19833
79,10,1,10333
66,14,1,21250
55,9,1,21250
40,17,0,7128
35,10,0,7128
10,4,0,7128
14,8,0,7128
43,12,0,8365
38,9,0,8365
16,9,0,8365
13,6,0,8365
72,0,0,8365
42,6,0,7500
36,12,0,7500
14,8,0,7500
12,6,0,7500
68,4,0,7500
37,5,0,7500
45,9,0,4955
36,7,0,4955
15,9,0,4955
13,6,0,4955
52,0,0,6345
45,4,0,6345
25,15,0,6345
23,13,0,6345
21,13,0,6345
32,9,0,6532
28,11,0,6532
8,2,0,6532
55,0,0,6532
30,12,0,5011
24,10,0,5011
6,0,0,5011
1,0,0,5011
78,0,0,2679
75,0,0,2679
32,10,0,7633
26,12,0,7633
5,0,0,7633
4,0,0,7633
42,9,0,7102
35,3,0,7102
13,7,0,7102
10,4,0,7102
16,10,0,7102
45,0,0,7833
43,0,0,7833
25,15,0,7833
100,0,0,2533
65,0,0,13383
60,0,0,13383
32,15,0,13383
22,12,0,13383
4,0,0,13383
2,0,0,13383
30,12,0,13383
21,10,0,13383
2,0,0,13383
0,0,0,13383
41,0,0,7792
39,4,0,7792
21,12,0,7792
40,12,0,12108
36,5,0,12108
14,8,0,12108
8,2,0,12108
11,5,0,12108
10,4,0,12108
85,0,0,12108
60,2,0,2925
40,12,0,11425
35,9,0,11425
12,6,0,11425
17,11,0,11425
14,8,0,11425
70,0,0,8875
35,3,0,8875
30,10,0,8875
11,5,0,8875
8,2,0,8875
50,0,0,8492
45,0,0,8492
22,12,0,8492
20,8,0,8492
50,0,0,10650
47,0,0,10650
75,0,0,10650
28,6,0,10650
25,9,0,10650
24,6,0,10650
65,0,0,13633
60,0,0,13633
35,10,0,13633
30,9,0,13633
7,1,0,13633
5,0,0,13633
3,0,0,13633
27,12,0,13633
24,10,0,13633
1,0,0,13633
45,4,0,8808
43,4,0,8808
20,0,0,8808
22,11,0,8808
50,0,0,8025
45,0,0,8025
22,16,0,8025
20,9,0,8025
70,0,0,11167
65,0,0,11167
45,4,0,11167
40,3,0,11167
17,9,0,11167
19,9,0,11167
43,12,0,9408
40,10,0,9408
21,12,0,9408
18,12,0,9408
48,8,0,10200
42,4,0,10200
22,15,0,10200
61,6,0,13025
55,7,0,13025
36,9,0,13025
32,4,0,13025
4,0,0,13025
32,10,0,13025
24,5,0,13025
5,0,0,13025
2,0,0,13025
72,0,0,2050
58,7,0,13450
46,0,0,13450
26,19,0,13450
24,12,0,13450
22,9,0,13450
50,9,0,8775
46,5,0,8775
21,12,0,8775
45,0,0,8375
50,9,0,8375
22,12,0,8375
38,7,0,5675
33,7,0,5675
13,6,0,5675
11,4,0,5675
10,3,0,5675
38,15,0,16250
34,12,0,16250
14,9,0,16250
13,8,0,16250
72,7,0,6517
55,8,0,7917
52,0,0,7917
23,15,0,7917
25,5,0,8917
23,0,0,8917
6,0,0,8917
2,0,0,8917
55,8,0,8917
50,2,0,8917
48,10,0,9300
41,5,0,9300
21,14,0,9300
19,11,0,9300
70,4,0,9300
40,8,0,8000
38,4,0,8000
18,12,0,8000
15,9,0,8000
13,7,0,8000
7,2,0,8000
42,9,0,11417
38,9,0,11417
17,11,0,11417
15,9,0,11417
55,9,0,6992
49,6,0,6992
75,0,0,6992
51,4,0,12596
29,10,0,12596
21,10,0,12596
2,0,0,12596
66,0,0,11063
35,11,0,11063
29,6,0,11063
10,4,0,11063
8,2,0,11063
46,9,0,11110
43,9,0,11110
23,16,0,11110
23,14,0,11110
56,0,0,9787
50,0,0,9787
23,8,0,9787
56,1,0,17943
52,0,0,17943
33,12,0,17943
30,10,0,17943
7,1,0,17943
30,12,0,17943
28,10,0,17943
26,13,0,17943
51,0,0,13258
48,0,0,13258
28,11,0,13258
23,9,0,13258
22,14,0,13258
55,0,0,14042
34,9,0,14042
28,14,0,14042
9,3,0,14042
6,0,0,14042
38,9,0,8167
34,3,0,8167
14,8,0,8167
11,4,0,8167
58,0,0,8167
50,10,0,12725
45,0,0,12725
24,12,0,12725
22,12,0,12725
55,4,0,11400
47,10,0,11400
30,12,0,11400
42,9,0,9508
37,0,0,9508
18,11,0,9508
40,7,0,7950
34,8,0,7950
13,7,0,7950
10,4,0,7950
45,9,0,9842
36,6,0,9842
19,12,0,9842
18,11,0,9842
55,0,0,13375
50,0,0,13375
25,12,0,13375
18,8,0,13375
0,0,0,13375
48,12,0,11717
37,7,0,11717
13,7,0,11717
18,12,0,11717
50,0,0,12325
45,0,0,12325
17,8,0,12325
10,4,0,12325
18,9,0,12325
75,0,0,12325
56,15,0,17442
47,7,0,17442
28,12,0,17442
26,15,0,17442
57,14,0,11225
42,10,0,11225
6,0,0,11225
10,4,0,11225
61,12,0,8875
46,7,0,8875
74,8,0,17742
68,9,0,17742
35,11,0,17742
28,10,0,17742
4,0,0,17742
0,0,0,17742
32,10,0,17742
78,12,0,13450
65,4,0,13450
35,12,0,13450
26,10,0,13450
9,3,0,13450
7,1,0,13450
18,12,0,4283
75,0,0,12400
70,0,0,12400
50,9,0,12400
45,0,0,12400
26,12,0,12400
40,9,0,4367
46,5,0,6700
43,4,0,6700
23,12,0,6700
18,10,0,6700
53,2,0,7200
38,0,0,7200
17,10,0,7200
76,0,0,7200
50,2,0,8408
45,2,0,8408
18,11,0,8408
80,7,0,8408
70,0,0,8408
74,0,0,942
64,4,0,18633
59,2,0,18633
36,10,0,18633
29,0,0,18633
9,3,0,18633
8,2,0,18633
33,5,0,18633
28,2,0,18633
9,3,0,18633
4,0,0,18633
31,12,0,18633
26,8,0,18633
4,0,0,18633
8,2,0,18633
28,12,0,18633
25,11,0,18633
21,12,0,18633
65,4,0,9000
52,0,0,9000
24,12,0,9000
21,2,0,9000
20,9,0,9000
18,7,0,9000
61,4,0,13400
53,0,0,13400
29,11,0,13400
23,12,0,13400
1,0,0,13400
26,9,0,13400
23,15,0,13400
21,9,0,13400
19,8,0,13400
58,0,0,6662
54,0,0,6662
26,8,0,6662
22,9,0,6662
53,9,0,7467
50,0,0,7467
28,10,0,7467
3,0,0,7467
5,0,0,7467
73,10,0,4075
50,0,0,4075
48,10,0,6083
45,9,0,6083
52,4,0,7417
38,3,0,7417
9,3,0,7417
3,0,0,7417
75,0,0,8167
52,10,0,8167
45,7,0,8167
17,10,0,8167
18,11,0,8167
82,0,0,8850
77,0,0,8850
50,7,0,8850
45,7,0,8850
21,14,0,8850
61,10,0,7183
55,7,0,7183
30,7,0,7183
26,15,0,7183
80,0,0,7183
65,6,0,4458
45,9,0,16550
42,5,0,16550
21,12,0,16550
18,10,0,16550
65,9,0,15500
60,0,0,15500
40,12,0,15500
23,15,0,20750
28,9,0,8750
24,7,0,8750
48,12,0,13250
40,13,0,13250
19,12,0,13250
17,11,0,13250
55,7,0,9625
23,12,0,9625
45,12,0,21125
38,9,0,21125
16,8,0,21125
13,0,0,21125
50,5,0,12250
22,10,0,12250
26,15,0,12250
24,17,0,12250
70,0,0,12537
65,0,0,12537
39,10,0,12537
37,10,0,12537
8,2,0,12537
17,10,0,12537
15,8,0,12537
13,7,0,12537
38,4,0,12537
35,7,0,12537
13,7,0,12537
8,2,0,12537
70,11,0,11250
60,11,0,11250
40,15,0,11250
12,8,0,11250
55,2,0,16542
52,4,0,16542
30,7,0,16542
26,12,0,16542
7,1,0,16542
3,0,0,16542
37,9,0,5708
75,4,0,19500
59,11,0,19500
50,7,0,19500
30,12,0,19500
29,15,0,19500
27,15,0,19500
27,15,0,19500
55,4,0,16142
48,4,0,16142
31,12,0,16142
28,7,0,16142
27,11,0,16142
41,9,0,14200
36,11,0,14200
11,5,0,14200
14,6,0,14200
46,9,0,10525
43,9,0,10525
2,0,0,10525
63,3,0,19858
61,10,0,19858
38,12,0,19858
32,12,0,19858
9,3,0,19858
10,4,0,19858
30,12,0,19858
27,10,0,19858
8,2,0,19858
6,1,0,19858
85,0,0,19858
50,7,0,8567
45,5,0,8567
22,12,0,8567
18,12,0,8567
85,0,0,8567
52,0,0,6917
48,0,0,6917
22,14,0,6917
30,5,0,7667
26,4,0,7667
8,2,0,7667
6,1,0,7667
65,0,0,7667
32,15,0,4925
28,15,0,4925
2,0,0,4925
55,10,0,4900
50,0,0,4900
49,10,0,6145
42,7,0,6145
15,8,0,6145
45,0,0,5267
75,0,0,5267
73,7,0,17883
65,0,0,17883
45,14,0,17883
32,11,0,17883
13,8,0,17883
10,4,0,17883
47,12,0,15500
45,15,0,15500
22,15,0,15500
32,12,0,18967
25,9,0,18967
6,0,0,18967
2,0,0,18967
59,2,0,6792
49,1,0,6792
30,13,0,6792
54,9,0,12650
34,12,0,12650
10,4,0,12650
15,9,0,12650
13,7,0,12650
61,10,0,12542
55,8,0,12542
28,18,0,12542
38,9,0,9167
38,8,0,9167
14,8,0,9167
52,10,0,6713
42,8,0,6713
52,12,0,9942
46,9,0,9942
23,16,0,9942
80,0,0,9942
39,9,0,9550
33,12,0,9550
8,2,0,9550
48,10,0,10417
45,9,0,10417
11,5,0,10417
9,3,0,10417
75,7,0,10417
64,3,0,2475
70,15,0,23483
63,7,0,23483
41,15,0,23483
40,12,0,23483
17,10,0,23483
13,7,0,23483
62,0,0,10792
53,4,0,10792
18,12,0,10792
10,4,0,10792
70,5,0,11825
65,0,0,11825
41,10,0,11825
38,8,0,11825
14,8,0,11825
6,0,0,11825
80,7,0,4117
74,0,0,4117
78,0,0,22967
74,0,0,22967
64,0,0,22967
37,8,0,22967
32,10,0,22967
11,5,0,22967
3,0,0,22967
33,10,0,22967
27,10,0,22967
8,2,0,22967
62,2,0,7867
58,3,0,7867
23,11,0,7867
62,0,0,17742
57,0,0,17742
36,9,0,17742
33,8,0,17742
6,1,0,17742
10,4,0,17742
39,6,0,11767
34,9,0,11767
15,9,0,11767
11,5,0,11767
74,0,0,10083
52,7,0,10083
48,0,0,10083
20,14,0,10083
17,11,0,10083
65,0,0,7688
60,0,0,7688
29,7,0,7688
19,7,0,7688
72,0,0,5058
66,0,0,5058
19,9,0,5058
39,10,0,6450
36,7,0,6450
15,9,0,6450
17,11,0,6450
65,11,0,11711
58,3,0,11711
38,12,0,11711
30,12,0,11711
10,4,0,11711
8,2,0,11711
36,10,0,11711
66,7,0,11930
61,0,0,11930
34,9,0,11930
29,13,0,11930
7,2,0,11930
3,0,0,11930
47,3,0,8750
43,2,0,8750
15,9,0,8750
14,8,0,8750
18,12,0,8750
57,3,0,10738
51,4,0,10738
25,4,0,10738
21,8,0,10738
1,0,0,10738
52,15,0,15637
44,12,0,15637
23,15,0,15637
21,13,0,15637
75,2,0,15637
52,8,0,8187
47,0,0,8187
26,15,0,8187
53,5,0,7605
50,8,0,7605
26,9,0,7605
18,10,0,7605
40,5,0,9123
34,8,0,9123
12,6,0,9123
8,2,0,9123
45,9,0,6658
42,9,0,6658
20,14,0,6658
16,11,0,6658
32,15,0,7032
23,14,0,7032
2,0,0,7032
62,4,0,7032
55,1,0,7032
45,4,0,8795
38,0,0,8795
24,9,0,8795
23,12,0,8795
0,0,0,8795
23,9,0,8795
41,19,0,9065
34,9,0,9065
10,4,0,9065
80,4,0,9065
44,7,0,6677
36,2,0,6677
15,9,0,6677
18,11,0,6677
61,0,0,6677
54,0,0,7085
51,4,0,7085
26,9,0,7085
18,11,0,7085
71,4,0,4033
65,0,0,4033
70,3,0,5247
65,0,0,5247
14,8,0,5247
72,0,0,11227
67,0,0,11227
47,10,0,11227
41,10,0,11227
17,10,0,11227
45,10,0,5360
50,0,0,5360
61,12,0,4695
56,7,0,4695
68,0,0,3867
75,9,0,12408
64,0,0,12408
45,12,0,12408
39,14,0,12408
56,12,0,6202
48,4,0,6202
76,0,0,6202
62,10,0,5852
58,4,0,5852
59,0,0,9140
51,0,0,9140
32,2,0,9140
35,0,0,9140
13,6,0,9140
64,12,0,17945
60,10,0,17945
36,17,0,17945
30,15,0,17945
3,0,0,17945
7,1,0,17945
46,9,0,6403
25,17,0,6403
34,8,0,8610
30,10,0,8610
9,2,0,8610
5,0,0,8610
11,5,0,8610
34,6,0,8597
27,1,0,8597
6,0,0,8597
4,0,0,8597
45,15,0,13188
42,12,0,13188
20,13,0,13188
82,4,0,13188
70,7,0,7750
64,0,0,7750
45,7,0,7750
17,10,0,7750
32,15,0,19866
36,9,0,19866
60,2,0,7938
55,3,0,7938
35,7,0,7938
58,10,0,11320
53,8,0,11320
31,10,0,11320
58,3,0,10297
52,2,0,10297
15,9,0,10297
17,11,0,10297
46,1,0,9090
44,3,0,9090
20,13,0,9090
12,6,0,9090
32,9,0,5650
14,8,0,5650
13,7,0,5650
42,17,0,23125
39,14,0,23125
9,3,0,23125
14,8,0,23125
82,16,0,23125
75,11,0,23125
46,12,0,7278
43,0,0,7278
20,9,0,7278
31,13,0,11353
24,11,0,11353
0,0,0,11353
2,0,0,11353
72,9,0,11353
64,2,0,11353
92,0,0,11353
59,0,0,5773
54,0,0,5773
48,17,0,9558
40,12,0,9558
19,12,0,9558
54,0,0,12433
51,0,0,12433
27,8,0,12433
8,1,0,12433
21,14,0,12433
55,10,0,8358
52,8,0,8358
71,0,0,3092
9,2,0,3092
7,1,0,3092
5,0,0,3092
67,0,0,19733
62,0,0,19733
35,11,0,19733
30,9,0,19733
8,1,0,19733
10,3,0,19733
5,0,0,19733
28,10,0,19733
26,9,0,19733
4,0,0,19733
45,12,0,6392
15,8,0,6392
16,9,0,6392
70,0,0,6392
50,0,0,12267
45,0,0,12267
20,12,0,12267
16,9,0,12267
14,7,0,12267
74,0,0,12267
70,0,0,4358
68,0,0,4358
43,12,0,8750
39,10,0,8750
17,10,0,8750
16,9,0,8750
15,8,0,8750
15,4,0,8750
65,0,0,8750
35,9,0,11854
30,8,0,11854
10,4,0,11854
6,0,0,11854
65,0,0,11854
28,9,0,11854
27,12,0,11854
28,10,0,6358
25,9,0,6358
5,0,0,6358
4,0,0,6358
37,9,0,6775
34,8,0,6775
15,9,0,6775
