Age,No. of years in Formal Education,Sector,Household'S Usual Consumer Expenditure In A Month (Rs.)
55,0,0,11625
54,0,0,7883
50,0,0,7883
22,9,0,7883
60,13,0,12867
50,10,0,12867
47,12,0,12867
29,17,0,12867
32,10,0,6542
49,9,0,8667
45,9,0,8667
21,13,0,8667
16,9,0,8667
45,12,0,7850
40,12,0,7850
14,7,0,7850
70,0,0,7850
69,5,0,17017
62,5,0,17017
33,12,0,17017
31,16,0,17017
16,11,0,17017
52,2,0,6624
49,0,0,6624
30,9,0,6624
27,12,0,6624
6,1,0,6624
2,0,0,6624
69,0,0,8958
64,0,0,8958
32,9,0,8958
27,14,0,8958
3,0,0,8958
4,0,0,8958
30,9,0,8958
50,3,0,13396
40,9,0,13396
16,12,0,13396
15,10,0,13396
71,15,0,27100
59,10,0,27100
40,18,0,27100
35,16,0,27100
4,0,0,27100
0,0,0,27100
40,10,0,8843
32,9,0,8843
13,6,0,8843
7,2,0,8843
38,17,0,7750
14,9,0,7750
13,8,0,7750
70,0,0,7750
49,4,0,9042
24,11,0,9042
62,0,0,6434
30,12,0,6434
28,12,0,6434
60,0,0,6168
38,12,0,6168
35,7,0,6168
6,0,0,6168
7,1,0,6168
57,6,0,5701
54,2,0,5701
32,17,0,5701
41,3,0,6801
35,8,0,6801
8,2,0,6801
10,4,0,6801
31,10,0,5901
31,12,0,5901
2,0,0,5901
68,0,0,5901
50,4,0,6283
49,0,0,6283
17,12,0,6283
51,9,0,6317
48,9,0,6317
26,14,0,6317
22,9,0,6317
49,6,0,6717
45,5,0,6717
2,0,0,6717
70,5,0,10708
52,12,0,10708
42,10,0,10708
22,15,0,10708
59,0,0,8787
55,0,0,8787
29,8,0,8787
26,0,0,8787
8,2,0,8787
23,12,0,8787
67,4,0,8450
41,12,0,8450
38,4,0,8450
14,8,0,8450
11,5,0,8450
9,3,0,8450
35,0,0,8450
32,9,0,6950
30,9,0,6950
11,5,0,6950
7,1,0,6950
49,0,0,6950
76,14,0,8722
67,11,0,8722
75,14,0,4740
52,9,0,8367
23,14,0,8367
49,0,0,9508
47,0,0,9508
30,9,0,9508
10,4,0,9508
7,1,0,9508
21,0,0,9508
27,8,0,9508
2,0,0,9508
1,0,0,9508
23,5,0,9508
45,12,0,12825
35,10,0,12825
17,11,0,12825
15,9,0,12825
60,7,0,12825
40,10,0,14050
37,7,0,14050
16,11,0,14050
13,7,0,14050
15,9,0,14050
65,0,0,13608
55,0,0,13608
23,10,0,13608
5,0,0,13608
3,0,0,13608
7,1,0,13608
60,0,0,12433
50,0,0,12433
33,4,0,12433
23,9,0,12433
6,0,0,12433
4,0,0,12433
45,5,0,23350
40,0,0,23350
24,10,0,23350
30,17,0,23350
9,3,0,23350
5,0,0,23350
3,0,0,23350
21,10,0,23350
20,12,0,23350
50,0,0,10092
43,0,0,10092
25,14,0,10092
19,7,0,10092
0,0,0,10092
55,0,0,13617
50,0,0,13617
23,8,0,13617
20,10,0,13617
0,0,0,13617
15,9,0,13617
34,0,0,5275
14,9,0,5275
11,5,0,5275
75,0,0,10658
60,4,0,10658
24,9,0,10658
20,13,0,10658
1,0,0,10658
22,9,0,10658
20,13,0,10658
0,0,0,10658
45,0,0,10142
43,10,0,10142
19,12,0,10142
16,9,0,10142
14,9,0,10142
59,9,0,8592
26,14,0,8592
90,0,0,8592
68,0,0,2625
56,10,0,14250
51,12,0,14250
29,19,0,14250
25,17,0,14250
0,0,0,14250
40,12,0,12858
35,9,0,12858
6,1,0,12858
7,2,0,12858
65,0,0,12858
60,0,0,12858
42,10,0,9183
38,0,0,9183
16,11,0,9183
61,4,0,12375
56,4,0,12375
30,9,0,12375
23,9,0,12375
2,0,0,12375
55,4,0,11525
52,7,0,11525
32,15,0,11525
28,15,0,11525
48,9,0,22125
38,11,0,22125
16,10,0,22125
5,0,0,22125
58,2,0,16475
52,2,0,16475
31,12,0,16475
40,7,0,12071
36,8,0,12071
7,1,0,12071
16,11,0,12071
12,6,0,12071
50,7,0,8450
17,11,0,8450
45,7,0,8450
40,7,0,8450
85,0,0,8450
62,12,0,8846
55,8,0,8846
57,7,0,10992
47,7,0,10992
14,9,0,10992
64,4,0,7721
41,9,0,7721
48,9,0,10250
29,12,0,10250
27,12,0,10250
55,9,0,10083
34,12,0,10083
25,12,0,10083
